Orden,Suborden,Propiedad,Denominacion,NaturalezaJuridica,Uso,Destino,Superficie,ReferenciaCatastral,Tipo
75,-,326,COLEGIO CIUDAD ENCANTADA (ANTIGUO S. ANTONIO),Dominio Público,Servicio Público,Centros Educativos,11141.0 m2,3855006WK7335B0001MW,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
76,-,383. 384 y 385,ESCUELAS DE SANTA TERESA,Dominio Público,Servicio Público,Centros Educativos,12618.35 m2,4261707WK7346A0001ZF,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
77,-,400,COLEGIO DE SANTA ANA,Dominio Público,Servicio Público,Centros Educativos,5505.0 m2,3459002WK7336A0001HP,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
78,-,222,CENTRO ASIS. 'CRISTO DEL AMPARO',Patrimonial,Patrimoniales,Locales,196.0 m2,4265111WK7346E0001ER,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
79,-,114,POLIDEPORTIVO 'LUIS YUFERA',Dominio Público,Servicio Público,Centros Deportivos,2032.0 m2,3463002WK7336C0001ZT,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
80,-,114bis,TERRENO JUNTO A CÁRITAS,Patrimonial,Patrimoniales,Solares,11252.0 m2,3463601WK7336C0001DT,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
81,-,219,EDIFICIO EN PASEO SAN ANTONIO. 10,Patrimonial,Patrimoniales,Viviendas,220.0 m2,3657001WK7335H0001RP::3657001WK7335H0002TA::3657001WK7335H0003YS::3657001WK7335H0004UD::3657001WK7335H0005IF::3657001WK7335H0006OG::3657001WK7335H0008AJ::3657001WK7335H0009SK::3657001WK7335H0010PH::3657001WK7335H0011AJ,DESCONOCIDO
82,-,102,PLAZA DE TOROS,Dominio Público,Dominio Público,Centros Ocio,5681.85 m2,3457001WK7335E0001BY,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
83,-,350,CASA EN TIRADORES BAJOS 'D'. 27,Patrimonial,Patrimoniales,Solares,65.0 m2,4366705WK7346E0001BR,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
84,-,351,CASA EN TIRADORES BAJOS 'G'. 24,Patrimonial,Patrimoniales,Viviendas,46.0 m2,4464102WK7346C0001BO,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
85,-,1551,EDIFICIO EN AVDA. DE LA CRUZ ROJA. 1,Patrimonial,Patrimoniales,Locales,1590.98 m2,3463601WK7336C0001DT,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
86,-,224,POBLADO 'OBISPO LAPLANA',Patrimonial,Patrimoniales,Desconocido,0.0 m2,3850701WK7334H0001RH::3855007WK7334H0001OH::3751514WK7335B0001UW::3749303WK7335H0001QP::3751530WK7335B0001TW::3751529WK7335B0001MW::3751522WK7335B0001YW::3750708WK7334H0001YH::3749830WK3734H0001XA::3749611WK3734H0001SA::3649501WK7334H0001XH::3649501WK7334H0002MJ::3649501WK7334H0003QK::3850001WK7334H0001XH::3849702WK7334H0001MH::3848206WK7334H0001AH::3749313WK7335H0001KP::3748216WK7334H0001DH::3749515WK7335H0001ZP::3749513WK7335H0001EP::3749604WK3734H0001XA::3751620WK7335B0001GW::3649430WK7334H0001FH::3649303WK7334H0001OH::3749214WK7335H0001MP::3749213WK7335H0001FP::3749202WK7335H0001AP::3750010WK7334H0001GH::SIN REF. CATASTRAL::SIN REF. CATASTRAL,DESCONOCIDO
87,-,225,POBLADO 'OBISPO LAPLANA',Patrimonial,Patrimoniales,Viviendas,400.95 m2,3851606WK7335B0001RW::3851605WK7335B0001KW::3851603WK7335B0001MW::SIN REF. CATASTRAL::3851601WK7335B0001TW::3649317WK7334H0001HH,DESCONOCIDO
88,-,226,POBLADO 'OBISPO LAPLANA',Patrimonial,Patrimoniales,Viviendas,467.3 m2,3850822WK7335B0001TW::3850821WK7335B0001LW::3850820WK7335B0001PW::3850819WK7335B0001TW,DESCONOCIDO
89,-,393,TERRENO EN LA CERRAJERA,Patrimonial,Patrimoniales,Solares,57665.0 m2,3143601WK7334C0001DJ::3045502WK7334E0001DS,DESCONOCIDO
90,-,237 Y 244,VERTEDERO DE BASURAS,Dominio Público,Servicio Público,Vertederos,107625.0 m2,16900A027000220000ZX::16900A027000220001XM,DESCONOCIDO
91,-,1252,AMPLIACIÓN VERTEDERO MUNICIPAL,Dominio Público,Servicio Público,Vertederos,208198.0 m2,16900A027000270000ZZ::16900A027000380000ZQ::16900A027000450000ZF::16900A027000470000ZO::16900A27000480000ZK::16900A027000490000ZR::16900A027000500000ZO::16900A027000510000ZK::16900A027000520000ZR::16900A027000530000ZD::16900A027000580000ZS::16900A027000590000ZZ,DESCONOCIDO
92,-,221,DEPÓSITO  AGUA EN CERRO DE MOLINA,Dominio Público,Uso Público,Infraestructuras Hidráulicas,9619.62 m2,4159001WK7335H0001ZP,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
92,-,BIS,DEPÓSITO  AGUA EN CERRO DE MOLINA,Dominio Público,Uso Público,Infraestructuras Hidráulicas,9187.16 m2,4159001WK7335H0001ZP,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
93,-,832,TIERRA EN SOLANA DE LA FUENTE DEL CANTO (C. MOLINA),Patrimonial,Patrimoniales,Solares,4947.0 m2,16900A067090020000ZH::16900A067000070000ZH,DESCONOCIDO
94,-,1662,QUIOSCO-BAR EN PASEO DEL JÚCAR,Dominio Público,Servicio Público,Centros Ocio,50.0 m2,16900A045000310001XR,INMUEBLES EN LA HOZ DEL JÚCAR
95,-,834,TIERRA EN CERRO DE MOLINA (PARTE JARDÍN FÁTIMA),Patrimonial,Patrimoniales,Solares,1527.0 m2,4460309WK7346A0001WF,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
96,-,833 y 1202,FINCA EN CERRO DE MOLINA INSTALACIONES DEPORTIVAS.,Dominio Público,Servicio Público,Centros Deportivos,22727.0 m2,4460301WK7346A0001XF,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
97,-,325,TIERRA EN CERRO DE MOLINA (10 % ARS NATURA),Dominio Público,Servicio Público,Centros Culturales,9586.0 m2,4460310WK7346A0001UF,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
98,-,1201,FINCA EN CERRO DE SOCORRO,Patrimonial,Patrimoniales,Solares,106502.49 m2,16900A066000090000ZL::16900A066000130000ZT::16900A066000140000ZF::16900A066000150000ZM::16900A066000260000ZE::16900A066000160000ZO::16900A066000210000ZR::16900A067000660000XK,DESCONOCIDO
99,-,120,FINCA EN MOLINO DEL MARTINETE,Patrimonial,Patrimoniales,Solares,1348.5 m2,3152101WK7060N0001MX,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
100,-,123,FINCA EN MOLINO DEL MARTINETE,Patrimonial,Patrimoniales,Solares,7896.0 m2,3152101WK7060N0001MX,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
101,-,126,RUSTICA EN FUENTE DE LA TEJA (EL TERMINILLO),Patrimonial,Patrimoniales,Solares,2000.0 m2,1952802WK7060N0001HX,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
102,-,233,TERRENO EN CNO. DEL PUENTE VERDE (MOLINO DE LA NOGUERA),Patrimonial,Patrimoniales,Solares,367.74 m2,NO LOCALIZADO,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
103,-,234,TERRENO EN CNO. DEL PUENTE VERDE (MOLINO DE LA NOGUERA),Patrimonial,Patrimoniales,Solares,155.7 m2,NO LOCALIZADO,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
104,-,235,TERRENO EN CNO. DEL PUENTE VERDE (MOLINO DE LA NOGUERA),Patrimonial,Patrimoniales,Solares,124.02 m2,NO LOCALIZADO,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
105,-,425,FINCA EN 'PEDAZO DE MÁLAGA',Patrimonial,Patrimoniales,Solares,7340.0 m2,4342003WK7344A0001XE,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
106,-,327,FINCA JUNTO A 'AYUNT. CUENCA. MADERAS. S.A.',Patrimonial,Patrimoniales,Solares,5625.0 m2,5237307WK7353E0001SE,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
107,-,113,SOLAR ENTRE LA RESINERA Y EL FERROCARRIL,Patrimonial,Patrimoniales,Solares,1236.9 m2,3161521WK7336A0001AP,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
108,-,231,FRANJA DE TERRENO PERPENDICULAR A C/ CAÑETE,Dominio Público,Uso Público,Vías Públicas Urbanas,1685.52 m2,SIN REF. CATASTRAL,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
109,-,1244,INSTALACIONES DEP. LA FUENSANTA,Dominio Público,Servicio Público,Centros Deportivos,9805.0 m2,3068005WK7336E0001DM::3068001WK7336E0001MM::3068004WK7060N0001RX::3068002WK7060N0001OX,DESCONOCIDO
110,-,1245,TERRENOS UNIVERSITARIOS,Dominio Público,Uso Público,Vías Públicas Urbanas,8880.0 m2,NO LOCALIZADO,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
111,-,1.246-1.247,TERRENOS UNIVERSITARIOS (AMPLIACIÓN),Dominio Público,Uso Público,Vías Públicas Urbanas,1655.0 m2,SIN REF. CATASTRAL,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
112,-,1254,TIRADORES ALTOS G. 23 (SOLAR) (C/ TRASHUMANCIA. 23),Patrimonial,Patrimoniales,Solares,58.5 m2,4463710WK7346C0001GO,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
113,-,1267,SOLAR EN LOS MORALEJOS,Patrimonial,Patrimoniales,Solares,74.0 m2,SIN REF. CATASTRAL,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
114,-,1355,SOLAR JUNTO A LA FUENSANTA,Patrimonial,Patrimoniales,Solares,1342.0 m2,3066001WK7336E0001DM,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
115,-,1357,SAN LÁZARO. E. 12 (Y PARTE DEL 14),Patrimonial,Patrimoniales,Solares,96.0 m2,3771012WK7337B0001HD,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
116,-,1382,TERRENOS JUNTO A INSTITUTOS,Patrimonial,Patrimoniales,Solares,9091.51 m2,3167009WK7336C,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
117,-,1721,FINCA A ANTIGUOS TERRENOS VIVERO CENTRAL,Dominio Público,Uso Público,Parques y Jardines,36194.0 m2,2857401WK7335G0001FQ,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
118,-,1573,PASARELA PEATONAL SOBRE RÍO JÚCAR,Dominio Público,Uso Público,Obras Públicas,221.0 m2,SIN REF. CATASTRAL,DESCONOCIDO
119,-,1491,LOCAL COMERCIAL C/ RÍO MARIANA ESQUINA. C/ RÍO TURIA,Dominio Público,Servicio Público,Centros Sociales,99.68 m2,4650601WK7344H0065YB,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
119,BIS,1492,LOCAL COMERCIAL  AVDA. DEL MEDITERRÁNEO,Dominio Público,Servicio Público,Otros,75.38 m2,4549201WK7344H0033IB,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
120,-,24,ZONA AJARDINADA EN BARRIO DE SAN MARTÍN,Dominio Público,Uso Público,Parques y Jardines,1200.0 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
121,-,185,ZONA AJARDINADA EN RONDA DE JULIÁN ROMERO,Dominio Público,Uso Público,Parques y Jardines,843.0 m2,16900A050002520000ZG::16900A050002520001XH,DESCONOCIDO
122,-,186,JARDÍN DE ALBENDEA,Dominio Público,Uso Público,Parques y Jardines,491.84 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
123,-,66,PARQUE DE SOLERA ('JARDINILLO'),Dominio Público,Uso Público,Parques y Jardines,1253.25 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
124,-,67,JARDÍN EN PZA. CARDENAL PAYÁ (PZA. DE LAS ESCUELAS),Dominio Público,Uso Público,Parques y Jardines,140.0 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
125,-,68,JARDÍN EN BULEVARD DE CAQUITO (PUENTE TRINIDAD),Dominio Público,Uso Público,Parques y Jardines,2648.0 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
126,-,69,JARDÍN EN C/ PALAFOX (ESCARDILLO),Dominio Público,Uso Público,Parques y Jardines,412.5 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
127,-,59.60.195,ZONA LIBRE EN PUENTE DE PALO (BAJO LA MURALLA),Dominio Público,Uso Público,Parques y Jardines,10633.42 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
128,-,100,PARQUE DE SAN JULIÁN,Dominio Público,Uso Público,Parques y Jardines,14148.15 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
129,-,205,PARQUE DE LOS MORALEJOS,Dominio Público,Uso Público,Parques y Jardines,59990.0 m2,3364001WK7336C0001WT,PARQUES Y JARDINES
130,-,115,PARQUE DE CAYO CONVERSA,Dominio Público,Uso Público,Parques y Jardines,32300.0 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
131,-,121 y 122,PARQUE DE SANTA ANA,Dominio Público,Uso Público,Parques y Jardines,26320.0 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
132,-,125,JARDÍN EN PLAZA DEL GENERALÍSIMO,Dominio Público,Uso Público,Parques y Jardines,612.5 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
133,-,117,ZONA AJARDINADA EN C/ RAMIRO DE MAEZTU,Dominio Público,Uso Público,Parques y Jardines,855.0 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
134,-,228. 229. 230 y1.250,ZONA AJARDINADA EN NTRA. SRA. DE FÁTIMA,Dominio Público,Uso Público,Parques y Jardines,446.0 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
135,-,118,EXPLANADA EN PLAZA DE TOROS,Dominio Público,Uso Público,Parques y Jardines,9500.0 m2,SIN REF. CATASTRAL,PARQUES Y JARDINES
136,-,28,RÚSTICA BAJO PUENTE SAN PABLO (POLG. 50 PARC. 185),Patrimonial,Patrimoniales,Parcelas Rústicas,4100.0 m2,16900A050002950000ZK,INMUEBLES EN LA HOZ DEL HUÉCAR
137,-,46,RÚSTICA BAJO PUENTE SAN PABLO (POLG. 50 PARC. 186),Patrimonial,Patrimoniales,Parcelas Rústicas,320.0 m2,16900A050001710000ZD,INMUEBLES EN LA HOZ DEL HUÉCAR
138,-,29,RÚSTICA BAJO PUENTE SAN PABLO (POLG. 50 PARC. 184),Patrimonial,Patrimoniales,Parcelas Rústicas,3160.0 m2,16900A050002580000ZM,INMUEBLES EN LA HOZ DEL HUÉCAR
139,-,45,RÚSTICA BAJO PUENTE SAN PABLO (POLG. 50 PARC. 187),Patrimonial,Patrimoniales,Parcelas Rústicas,2480.0 m2,16900A050002590000ZO,INMUEBLES EN LA HOZ DEL HUÉCAR
140,-,32,RÚSTICA BAJO PUENTE S. PABLO (POLG. 50 PARCS. 188 Y 189),Patrimonial,Patrimoniales,Parcelas Rústicas,2900.0 m2,16900A050002530000ZQ::16900A050002930001XQ::16900A050002930000ZM,DESCONOCIDO
141,-,27,HOCINO EN SAN PABLO (POLG. 64 PARCS. 43 Y 44),Patrimonial,Patrimoniales,Parcelas Rústicas,47960.0 m2,16900A064000310000ZF::16900A064000320000ZM::16900A064000270000ZT,DESCONOCIDO
142,-,30,HOCINO EN SAN PABLO (POLG. 64 PARC. 37),Patrimonial,Patrimoniales,Parcelas Rústicas,15875.0 m2,16900A064000260000ZL,INMUEBLES EN LA HOZ DEL HUÉCAR
143,-,31,RÚSTICA SOBRE CAMINO CUEVA ZARZA (POLG. 65 PARC. 2),Patrimonial,Patrimoniales,Parcelas Rústicas,3250.0 m2,16900A065000020000ZP,INMUEBLES EN LA HOZ DEL HUÉCAR
144,-,189,CAPTACIÓN AGUA POTABLE EN CTRA. PALOMERA. KM. 5.5.,Dominio Público,Uso Público,Infraestructuras Hidráulicas,79.5 m2,DI0704100WK73H0001QS,INMUEBLES EN LA HOZ DEL HUÉCAR
145,-,158,MANANTIAL AGUA POTABLE EN CUEVA DEL FRAILE,Dominio Público,Uso Público,Infraestructuras Hidráulicas,120.0 m2,DI0706000WK73H0001ES,INMUEBLES EN LA HOZ DEL HUÉCAR
146,-,841,ACUEDUCTO CUEVA DEL FRAILE,Dominio Público,Uso Público,Infraestructuras Hidráulicas,5200.0 m2,16900A050090050000ZJ,INMUEBLES EN LA HOZ DEL HUÉCAR
147,-,842,CASETAS CAPTACIÓN AGUA POTABLE EN CUEVA DEL FRAILE,Dominio Público,Uso Público,Infraestructuras Hidráulicas,303.5 m2,DI0706000WK73H0001ES::16900A017000020000ZZ::16900A017000040000ZH,DESCONOCIDO
148,-,843,RÚSTICA EN CUEVA DEL FRAILE,Dominio Público,Servicio Público,Infraestructuras Hidráulicas,28862.16 m2,16900A017000030000ZU::16900A017000020000ZZ::16900A017000040000ZH,DESCONOCIDO
149,-,47,TERRENO EN LA VENTA DE LA ESPADA (HOZ DEL HUÉCAR),Patrimonial,Patrimoniales,Solares,1000.0 m2,4368401WK7346G0001TX,INMUEBLES EN LA HOZ DEL HUÉCAR
150,-,194,TERRENO EN 'EL ALMUDÍ',Patrimonial,Patrimoniales,Solares,1318.0 m2,SIN REF. CATASTRAL,INMUEBLES EN LA HOZ DEL HUÉCAR
151,-,190,CASETA RADIO-TV. CERRO S. CRISTÓBAL,Patrimonial,Patrimoniales,Solares,40.0 m2,DI0601000WK73G0001TE,INMUEBLES EN LA HOZ DEL JÚCAR
152,-,43,RÚSTICA EN BARRIO DEL CASTILLO (POLG. 50 PARC. 160; 241 ACTUAL),Patrimonial,Patrimoniales,Solares,11720.0 m2,16900A050002410000ZS,INMUEBLES EN LA HOZ DEL JÚCAR
153,-,44,RÚSTICA EN BARRIO DEL CASTILLO (POLG. 50 PARC. 161; 241 ACTUAL),Patrimonial,Patrimoniales,Parcelas Rústicas,20280.0 m2,16900A050002410000ZS,INMUEBLES EN LA HOZ DEL JÚCAR
154,-,33,RÚSTICA EN PUERTA DE SAN JUAN (POLG.45-46 PARC.18),Patrimonial,Patrimoniales,Parcelas Rústicas,5780.0 m2,SIN REF. CATASTRAL,INMUEBLES EN LA HOZ DEL JÚCAR
155,-,34,RÚSTICA EN PUERTA DE SAN JUAN (POLG. 45-46 PARC. 1),Patrimonial,Patrimoniales,Parcelas Rústicas,4220.0 m2,16900A045000270000ZJ,INMUEBLES EN LA HOZ DEL JÚCAR
156,-,35,RECREO PERAL (POLG. 45-46 PARCS. 2.3 Y 4),Dominio Público,Servicio Público,Centros Ocio,6130.22 m2,16900A045000390001XU::4069101WK7347A0001XI::4069001WK7347A0001KI,DESCONOCIDO
157,-,37,RÚSTICA EN PUENTE DE LOS DESCALZOS (POLG. 45-46 PARC. 5),Patrimonial,Patrimoniales,Parcelas Rústicas,4760.0 m2,16900A045000240000ZD,INMUEBLES EN LA HOZ DEL JÚCAR
158,-,39,RÚSTICA EN LA CAVA. EN EL CASTILLO (POLG. 45-46 PARC.14),Patrimonial,Patrimoniales,Parcelas Rústicas,2080.0 m2,16900A045000210000ZO,INMUEBLES EN LA HOZ DEL JÚCAR
159,-,40,RÚSTICA EN LADERA IZQDA. CAMINO SAN ISIDRO (45-46/12),Patrimonial,Patrimoniales,Parcelas Rústicas,80480.0 m2,16900A045000110000ZG,INMUEBLES EN LA HOZ DEL JÚCAR
160,-,41,RÚSTICA JUNTO A ERMITA S. ISIDRO (POLG. 45-46 PARC. 13,Patrimonial,Patrimoniales,Parcelas Rústicas,1280.0 m2,DI0600800WK73G0001FE DI0600800WK73G0000DW,INMUEBLES EN LA HOZ DEL JÚCAR
161,-,50,RÚSTICA BAJO ERMITA LAS ANGUSTIAS (POLG. 45-46 PARC. 20),Patrimonial,Patrimoniales,Parcelas Rústicas,7272.02 m2,16900A045000230000ZR4069201WK7347A0001EI,INMUEBLES EN LA HOZ DEL JÚCAR
162,-,42,RÚSTICA EN LADERA IZQDA. CAMINO SAN ISIDRO (45-46/29),Patrimonial,Patrimoniales,Parcelas Rústicas,26520.0 m2,16900A045000060000ZB,INMUEBLES EN LA HOZ DEL JÚCAR
163,-,188,LAS GRAJAS,Dominio Público,Uso Público,Infraestructuras Hidráulicas,892.69 m2,DI0600300WK73G0001GE,INMUEBLES EN LA HOZ DEL JÚCAR
164,-,52,RÚSTICA EN FUENTE DE MARTÍN ALHAJA (POLG.45-46 PARC.34),Patrimonial,Patrimoniales,Parcelas Rústicas,23980.0 m2,16900A045000020000ZU,INMUEBLES EN LA HOZ DEL JÚCAR
165,-,53,RÚSTICA EN BOCA HOZ DEL JÚCAR (POLG. 45-46 PARC. 35),Patrimonial,Patrimoniales,Parcelas Rústicas,17720.0 m2,16900A045000010000ZZ,INMUEBLES EN LA HOZ DEL JÚCAR
166,-,65,CONFLUENCIA DEL JÚCAR Y HUÉCAR,Patrimonial,Patrimoniales,Parcelas Rústicas,1353.0 m2,SIN REF. CATASTRAL,INMUEBLES EN LA HOZ DEL JÚCAR
167,-,36,RÚSTICA FRENTE AL RECREO PERAL (POLG. 8 PARC. 12),Dominio Público,Servicio Público,Centros Ocio,5000.0 m2,16900A045000310000ZE,INMUEBLES EN LA HOZ DEL JÚCAR
168,-,38,RUSTICA JUNTO A PUENTE DE DESCALZOS (POLG. 8 PARC. 11),Patrimonial,Patrimoniales,Parcelas Rústicas,2060.0 m2,16900A045000320000ZS,INMUEBLES EN LA HOZ DEL JÚCAR
169,-,51,RÚSTICA BAJO CAMINO S. JULIÁN (POLG. 10 PARC. 5),Patrimonial,Patrimoniales,Parcelas Rústicas,28944.0 m2,16900A010000180000ZP,INMUEBLES EN LA HOZ DEL JÚCAR
170,-,1520,FINCA 7      OD-1,Dominio Público,Servicio Público,Otros,1955.0 m2,2160302WK7326A0001YY,SECTOR 13 CAÑADILLAS OESTE
171,-,1521,FINCA 8      OD-2,Dominio Público,Servicio Público,Otros,16992.85 m2,2356501WK7325E0001UW,SECTOR 13 CAÑADILLAS OESTE
172,-,1522,FINCA 9    SERVICIOS,Dominio Público,Servicio Público,Otros,717.85 m2,2356503WK7325G0001WB,SECTOR 13 CAÑADILLAS OESTE
173,-,1523,FINCA 10 VIARIO PEATONAL UA-1,Dominio Público,Uso Público,Vías Públicas Urbanas,444.25 m2,SIN REF. CATASTRAL,SECTOR 13 CAÑADILLAS OESTE
174,-,1524,FINCA 11 VIARIO Y APARCAMIENTO UA-2,Dominio Público,Uso Público,Vías Públicas Urbanas,23949.08 m2,SIN REF. CATASTRAL,SECTOR 13 CAÑADILLAS OESTE
175,-,1525,FINCA 16   EG-102,Dominio Público,Servicio Público,Otros,7272.73 m2,2356504WK7325E0001AW,SECTOR 13 CAÑADILLAS OESTE
176,-,1526,FINCA 17   EG-103,Dominio Público,Servicio Público,Otros,8133.75 m2,2356505WK7325E0001BW,SECTOR 13 CAÑADILLAS OESTE
177,-,1527,FINCA 18   VG-102,Dominio Público,Uso Público,Vías Públicas Urbanas,34608.21 m2,SIN REF. CATASTRAL,SECTOR 13 CAÑADILLAS OESTE
178,-,1528,FINCA 19   VG-103,Dominio Público,Uso Público,Vías Públicas Urbanas,4978.67 m2,SIN REF. CATASTRAL,SECTOR 13 CAÑADILLAS OESTE
179,-,1529,FINCA 20   ZV-1,Dominio Público,Uso Público,Parques y Jardines,1307.85 m2,2160301WK7326A0001BY,SECTOR 13 CAÑADILLAS OESTE
180,-,1530,FINCA 21   ZV-2,Dominio Público,Uso Público,Parques y Jardines,15814.12 m2,2259501WK7326A0001UY,SECTOR 13 CAÑADILLAS OESTE
181,-,1531,FINCA 12,Dominio Público,Uso Público,Parques y Jardines,2624.46 m2,9872512WK6397S0001LE,SECTOR 17 LA LOMA DE NOHALES
182,-,1532,FINCA 13,Dominio Público,Servicio Público,Otros,780.0 m2,9872513WK6397S0001TE,SECTOR 17 LA LOMA DE NOHALES
183,-,1533,FINCA 14,Dominio Público,Uso Público,Vías Públicas Urbanas,5219.0 m2,SIN REF. CATASTRAL,SECTOR 17 LA LOMA DE NOHALES
184,-,1534,FINCA 16,Patrimonial,Patrimonio municipal del suelo,Desconocido,945.0 m2,9773502WK6397S0001GE,SECTOR 17 LA LOMA DE NOHALES
185,-,1535,FINCA 36,Patrimonial,Patrimonio municipal del suelo,Desconocido,900.19 m2,9773525WK6397S0001UE,SECTOR 17 LA LOMA DE NOHALES
186,-,1536,FINCA 37,Patrimonial,Patrimonio municipal del suelo,Desconocido,852.08 m2,9773524WK6397S0001ZE,SECTOR 17 LA LOMA DE NOHALES
187,-,1537,FINCA 46,Dominio Público,Servicio Público,Otros,1062.65 m2,9872532WK6397S0001UE,SECTOR 17 LA LOMA DE NOHALES
188,-,1538,FINCA 47,Patrimonial,Patrimoniales,Solares,1530.0 m2,9872531WK6397S0001ZE,SECTOR 17 LA LOMA DE NOHALES
189,-,1539,FINCA 57,Dominio Público,Servicio Público,Otros,3131.54 m2,9872520WK6397S0001KE,SECTOR 17 LA LOMA DE NOHALES
190,-,1540,FINCA 58,Dominio Público,Servicio Público,Otros,3219.35 m2,9872521WK6397S0001RE,SECTOR 17 LA LOMA DE NOHALES
191,-,1541,FINCA 59,Dominio Público,Uso Público,Infraestructuras Alumbrado,31.0 m2,9872533WK6397S0001HE,SECTOR 17 LA LOMA DE NOHALES
192,-,1601,PARCELA EL-A,Dominio Público,Servicio Público,Otros,143532.0 m2,3548703WK7334H0001TH,UE-22 'OBISPO LAPLANA'
193,-,1602,PARCELA EL-B,Dominio Público,Servicio Público,Otros,1106.52 m2,3647404WK7334H0001SH,UE-22 'OBISPO LAPLANA'
194,-,1603,PARCELA EL-C,Dominio Público,Servicio Público,Otros,1132.27 m2,3847802WK7334H0001JH,UE-22 'OBISPO LAPLANA'
195,-,1604,PARCELA E POLIDEPORTIVO SAMUEL FERRER,Dominio Público,Servicio Público,Otros,3538.91 m2,3847803WK7334H0001EH,UE-22 'OBISPO LAPLANA'
196,-,1605,PARCELA CT,Dominio Público,Servicio Público,Otros,23.24 m2,3847801WK7334H0001IH,UE-22 'OBISPO LAPLANA'
197,-,1606,PARCELA RED VIARIA LOCAL,Dominio Público,Uso Público,Vías Públicas Urbanas,5463.5 m2,SIN REF. CATASTRAL,UE-22 'OBISPO LAPLANA'
198,-,1623,SUBSUELO  PARTE DEL IES ALFONSO VIII,Dominio Público,Servicio Público,Aparcamientos Públicos,2248.5 m2,3563001WK7336O0001RT,DESCONOCIDO
199,-,1638,TERRENOS CONDUCCIÓN DE AGUA,Dominio Público,Uso Público,Infraestructuras Hidráulicas,0.0 m2,16128A504010010000ST::16128A504000010000SM,DESCONOCIDO
